Table,Column,Rows,Null_Count,Null_Pct
vendor_master,Vendor_ID,1015,0,0.0
vendor_master,Vendor_Name,1015,0,0.0
vendor_master,Vendor_Category,1015,35,3.45
vendor_master,Country,1015,29,2.86
vendor_master,Reliability_Score,1015,0,0.0
vendor_master,Lead_Time_Days,1015,29,2.86
vendor_master,Contact_Email,1015,45,4.43
vendor_master,Active_Since_Year,1015,38,3.74
purchase_orders,PO_ID,50100,0,0.0
purchase_orders,Vendor_ID,50100,0,0.0
purchase_orders,Product_Category,50100,0,0.0
purchase_orders,Product_SKU,50100,0,0.0
purchase_orders,Order_Date,50100,51,0.1
purchase_orders,Expected_Delivery_Date,50100,0,0.0
purchase_orders,Actual_Delivery_Date,50100,2996,5.98
purchase_orders,Ordered_Quantity,50100,0,0.0
purchase_orders,Unit_Price_INR,50100,0,0.0
purchase_orders,Order_Status,50100,1503,3.0
purchase_orders,Warehouse_ID,50100,0,0.0
inventory,Inventory_ID,30000,0,0.0
inventory,Product_SKU,30000,0,0.0
inventory,Product_Name,30000,0,0.0
inventory,Product_Category,30000,0,0.0
inventory,Warehouse_ID,30000,0,0.0
inventory,Warehouse_Location,30000,0,0.0
inventory,Stock_On_Hand,30000,80,0.27
inventory,Reorder_Level,30000,0,0.0
inventory,Units_Sold_Last_Month,30000,200,0.67
inventory,Avg_Stock_On_Hand,30000,0,0.0
inventory,Snapshot_Date,30000,0,0.0
inventory,Supplier_Lead_Time_Days,30000,150,0.5
shipments,Shipment_ID,20000,0,0.0
shipments,PO_ID,20000,0,0.0
shipments,Vendor_ID,20000,0,0.0
shipments,Shipment_Mode,20000,637,3.18
shipments,Carrier_Name,20000,0,0.0
shipments,Dispatch_Date,20000,0,0.0
shipments,Delivered_Date,20000,400,2.0
shipments,Freight_Cost_INR,20000,0,0.0
shipments,Shipment_Weight_KG,20000,0,0.0
shipments,Origin_Country,20000,0,0.0
shipments,Destination_Warehouse,20000,0,0.0
shipments,Damage_Flag,20000,401,2.0
returns,Return_ID,5080,0,0.0
returns,PO_ID,5080,0,0.0
returns,Vendor_ID,5080,0,0.0
returns,Product_SKU,5080,0,0.0
returns,Product_Category,5080,0,0.0
returns,Return_Date,5080,0,0.0
returns,Return_Reason,5080,206,4.06
returns,Return_Qty,5080,0,0.0
returns,Unit_Price_INR,5080,0,0.0
returns,Approved_By,5080,1222,24.06
returns,Refund_Status,5080,107,2.11
